portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,11049451,BTC-GBP,BUY,2020-11-19T21:25:18.602Z,0.06451522,BTC,13610,1.7561042884,-879.8082484884,GBP
default,11054663,BTC-GBP,BUY,2020-11-20T09:02:28.960Z,0.00863922,BTC,13805,0.1192644321,-119.3836965321,GBP
default,11054664,BTC-GBP,BUY,2020-11-20T09:02:31.532Z,0.41136000,BTC,13805,5.6788248,-5684.5036248,GBP
default,11054665,BTC-GBP,BUY,2020-11-20T09:02:31.646Z,0.00000078,BTC,13805,0.0000107679,-0.0107786679,GBP
default,11055018,BTC-GBP,BUY,2020-11-20T09:24:24.095Z,0.00747462,BTC,13770,0.1029255174,-103.0284429174,GBP
default,11055019,BTC-GBP,BUY,2020-11-20T09:24:24.344Z,0.01459732,BTC,13770,0.2010050964,-201.2061014964,GBP
default,11055022,BTC-GBP,BUY,2020-11-20T09:24:41.441Z,0.01395000,BTC,13770,0.1920915,-192.2835915,GBP
default,11055023,BTC-GBP,BUY,2020-11-20T09:24:47.749Z,0.28397806,BTC,13770,3.9103778862,-3914.2882640862,GBP
default,11055492,BTC-GBP,BUY,2020-11-20T09:53:12.449Z,0.72000000,BTC,13720,9.8784,-9888.2784,GBP
default,11055626,BTC-GBP,BUY,2020-11-20T10:06:14.420Z,0.60000000,BTC,13760,8.256,-8264.256,GBP
default,11055627,BTC-GBP,BUY,2020-11-20T10:06:14.459Z,0.11000000,BTC,13760,1.5136,-1515.1136,GBP
default,11087396,BTC-GBP,BUY,2020-11-22T02:42:39.864Z,0.00212867,BTC,14020,0.0298439534,-29.8737973534,GBP
default,11087402,BTC-GBP,BUY,2020-11-22T02:45:01.390Z,0.03426542,BTC,14020,0.4804011884,-480.8815895884,GBP
default,11087404,BTC-GBP,BUY,2020-11-22T02:45:05.623Z,0.00100359,BTC,14020,0.0140703318,-14.0844021318,GBP
default,11087406,BTC-GBP,BUY,2020-11-22T02:45:27.977Z,0.25000000,BTC,14020,3.505,-3508.505,GBP
default,11087407,BTC-GBP,BUY,2020-11-22T02:45:27.981Z,0.09260000,BTC,14020,1.298252,-1299.550252,GBP
default,11087408,BTC-GBP,BUY,2020-11-22T02:45:31.366Z,0.00000232,BTC,14020,0.0000325264,-0.0325589264,GBP
default,11124185,BTC-GBP,SELL,2020-11-24T09:28:00.443Z,0.02631601,BTC,14120,0.3715820612,371.2104791388,GBP
default,11124189,BTC-GBP,SELL,2020-11-24T09:28:07.403Z,0.00352411,BTC,14120,0.0497604332,49.7106727668,GBP
default,11124190,BTC-GBP,SELL,2020-11-24T09:28:07.843Z,0.35015988,BTC,14120,4.9442575056,4939.3132480944,GBP
default,11130123,BTC-GBP,BUY,2020-11-24T13:04:08.333Z,0.37000000,BTC,14475,5.35575,-5361.10575,GBP
default,11130800,BTC-GBP,SELL,2020-11-24T13:33:56.524Z,0.01717218,BTC,14486,0.24875619948,248.50744328052,GBP
default,11130801,BTC-GBP,SELL,2020-11-24T13:33:57.957Z,0.00378029,BTC,14486,0.05476128094,54.70651965906,GBP
default,11130806,BTC-GBP,SELL,2020-11-24T13:34:10.385Z,0.02368799,BTC,14486,0.34314422314,342.80107891686,GBP
default,11130807,BTC-GBP,SELL,2020-11-24T13:34:10.718Z,0.00261104,BTC,14486,0.03782352544,37.78570191456,GBP
default,11130808,BTC-GBP,SELL,2020-11-24T13:34:12.371Z,0.00147749,BTC,14486,0.02140292014,21.38151721986,GBP
default,11130906,BTC-GBP,SELL,2020-11-24T13:37:07.127Z,0.01696413,BTC,14486,0.24574238718,245.49664479282,GBP
default,11130907,BTC-GBP,SELL,2020-11-24T13:37:07.263Z,0.00068757,BTC,14486,0.00996013902,9.95017888098,GBP
default,11130908,BTC-GBP,SELL,2020-11-24T13:37:13.257Z,0.00134031,BTC,14486,0.01941573066,19.39631492934,GBP
default,11130912,BTC-GBP,SELL,2020-11-24T13:37:26.605Z,0.01321091,BTC,14486,0.19137324226,191.18186901774,GBP
default,11130917,BTC-GBP,SELL,2020-11-24T13:37:35.955Z,0.00127158,BTC,14486,0.01842010788,18.40168777212,GBP
default,11130934,BTC-GBP,SELL,2020-11-24T13:38:10.229Z,0.01760946,BTC,14486,0.25509063756,254.83554692244,GBP
default,11130935,BTC-GBP,SELL,2020-11-24T13:38:16.495Z,0.00329774,BTC,14486,0.04777106164,47.72329057836,GBP
default,11130936,BTC-GBP,SELL,2020-11-24T13:38:16.973Z,0.00329774,BTC,14486,0.04777106164,47.72329057836,GBP
default,11131857,BTC-GBP,SELL,2020-11-24T14:22:36.950Z,0.00321455,BTC,14485,0.04656275675,46.51619399325,GBP
default,11131858,BTC-GBP,SELL,2020-11-24T14:22:37.223Z,0.10072448,BTC,14485,1.4589940928,1457.5350987072,GBP
default,11131859,BTC-GBP,SELL,2020-11-24T14:22:40.164Z,0.00660885,BTC,14485,0.09572919225,95.63346305775,GBP
default,11131860,BTC-GBP,SELL,2020-11-24T14:22:42.986Z,0.00660556,BTC,14485,0.0956815366,95.5858550634,GBP
default,11131862,BTC-GBP,SELL,2020-11-24T14:22:50.689Z,0.00891778,BTC,14485,0.1291740433,129.0448692567,GBP
default,11131864,BTC-GBP,SELL,2020-11-24T14:22:52.890Z,0.00426180,BTC,14485,0.061732173,61.670440827,GBP
default,11131865,BTC-GBP,SELL,2020-11-24T14:22:57.320Z,0.06768504,BTC,14485,0.9804178044,979.4373865956,GBP
default,11131866,BTC-GBP,SELL,2020-11-24T14:22:58.234Z,0.00127151,BTC,14485,0.01841782235,18.39940452765,GBP
